46,30,24,30.13,22,11.77
57,20,23,33.50,34,12.53
50,18,32,35.88,18,11.41
50,21,29,39.38,21,7.87
55,22,23,43.50,32,8.63
42,31,27,45.63,15,11.92
47,28,25,47.88,22,7.54
58,22,20,50.63,38,6.98
43,32,25,50.25,18,6.28
39,39,22,48.00,17,8.29
55,28,17,48.63,38,7.92
39,33,28,47.25,11,8.33
38,34,28,45.13,10,10.73
42,32,26,45.13,16,10.12
38,39,23,44.00,15,9.68
42,35,23,42.00,19,6.55
46,37,17,42.38,29,8.97
47,31,22,43.38,25,7.19
44,40,16,42.00,28,6.86
28,37,35,40.63,-7,8.70
28,39,33,39.38,-5,10.08
41,39,20,39.25,21,9.04
27,51,22,37.88,5,8.17
35,42,23,37.00,12,8.05
33,36,31,35.38,2,9.56
26,45,29,32.75,-3,9.06
37,33,30,31.88,7,8.90
32,36,32,32.38,0,5.25
41,40,19,34.00,22,4.91
36,31,33,33.38,3,7.19
43,39,18,35.38,25,9.38
32,48,20,35.00,12,9.03
31,38,31,34.75,0,7.37
35,30,35,35.88,0,7.67
39,37,24,36.13,15,5.56
30,31,39,35.88,-9,4.90
31,36,33,34.63,-2,7.78
52,12,36,36.63,16,6.99
32,36,32,35.25,0,6.28
38,33,29,36.00,9,10.40
48,32,20,38.13,28,13.43
33,27,40,37.88,-7,13.98
23,32,45,35.88,-22,13.97
33,36,31,36.25,2,12.81
36,30,34,36.88,2,14.01
39,29,32,35.25,7,8.20
49,20,31,37.38,18,3.90
48,27,25,38.63,23,3.36
51,21,28,39.00,23,4.37
46,25,29,40.63,17,4.97
47,26,27,43.63,20,7.34
36,39,25,44.00,11,9.20
46,28,26,45.25,20,7.78
47,25,28,46.25,19,5.53
43,36,21,45.50,22,7.43
45,29,26,45.13,19,10.30
38,35,27,43.50,11,10.84
48,29,23,43.75,25,9.45
43,35,22,43.25,21,10.97
35,42,23,43.13,12,9.92
43,27,30,42.75,13,9.29
37,38,25,41.50,12,7.91
52,34,14,42.63,38,6.88
29,36,35,40.63,-6,6.70
43,31,26,41.25,17,6.31
40,37,23,40.25,17,7.19
48,24,28,40.88,20,7.69
41,43,16,41.63,25,8.39
41,40,19,41.38,22,8.85
31,46,23,40.63,8,9.15
35,37,28,38.50,7,9.91
39,34,27,39.75,12,10.94
21,44,35,37.00,-14,8.27
23,42,35,34.88,-12,8.08
29,40,31,32.50,-2,7.25
32,44,24,31.38,8,8.62
22,47,31,29.00,-9,5.64
28,39,33,28.63,-5,6.27
26,37,37,27.50,-11,7.20
22,34,44,25.38,-22,9.96
30,37,33,26.50,-3,11.02
14,44,42,25.38,-28,10.61
22,39,39,24.50,-17,10.04
21,42,37,23.13,-16,8.49
25,34,41,23.50,-16,10.45
30,35,35,23.75,-5,12.38
21,35,44,23.13,-23,14.32
20,24,56,22.88,-36,14.03
21,32,47,21.75,-26,11.87
35,35,30,24.38,5,11.74
49,27,24,27.75,25,10.06
37,44,19,29.75,18,10.17
48,38,14,32.63,34,8.43
43,37,20,34.25,23,7.73
37,39,24,36.25,13,7.60
43,42,15,39.13,28,6.96
63,27,10,44.38,53,5.69
55,30,15,46.88,40,6.28
60,27,13,48.25,47,7.06
20,49,31,46.13,-11,9.52
54,32,14,46.88,40,8.64
41,38,21,46.63,20,8.85
40,37,23,47.00,17,9.10
44,34,22,47.13,22,4.65
47,31,22,45.13,25,5.76
46,27,27,44.00,19,7.71
34,32,34,40.75,0,5.12
27,36,37,41.63,-10,4.18
45,33,22,40.50,23,3.69
41,32,27,40.50,14,4.64
43,34,23,40.88,20,2.86
37,36,27,40.00,10,0.99
32,39,29,38.13,3,1.19
31,35,34,36.25,-3,-0.61
28,42,30,35.50,-2,2.39
22,37,41,34.88,-19,2.44
21,45,34,31.88,-13,1.25
20,41,39,29.25,-19,1.04
21,34,45,26.50,-24,2.04
24,37,39,24.88,-15,1.59
33,39,28,25.00,5,2.24
23,36,41,24.00,-18,2.55
22,35,43,23.25,-21,3.33
28,38,34,24.00,-6,-1.07
18,44,38,23.63,-20,0.08
21,45,34,23.75,-13,0.32
22,44,34,23.88,-12,1.89
24,43,33,23.88,-9,1.34
25,45,30,22.88,-5,2.26
26,42,32,23.25,-6,1.87
25,41,34,23.63,-9,2.62
29,41,30,23.75,-1,1.65
27,35,38,24.88,-11,2.88
38,33,29,27.00,9,2.09
30,30,40,28.00,-10,1.40
32,34,34,29.00,-2,2.69
28,40,32,29.38,-4,0.45
26,34,40,29.38,-14,0.30
29,37,34,29.88,-5,-1.13
31,38,31,30.13,0,-0.09
42,30,28,32.00,14,0.35
43,33,24,32.63,19,1.27
32,36,32,32.88,0,0.59
35,30,35,33.25,0,-0.65
34,31,35,34.00,-1,-0.24
45,30,25,36.38,20,-2.69
33,32,35,36.88,-2,-2.49
37,39,24,37.63,13,-3.66
33,38,29,36.50,4,-1.63
36,31,33,35.63,3,-1.65
44,28,28,37.13,16,-1.54
40,33,27,37.75,13,-1.96
38,31,31,38.25,7,-1.88
48,26,26,38.63,22,-2.09
41,25,34,39.63,7,-1.74
38,29,33,39.75,5,1.88
49,27,24,41.75,25,2.40
40,36,24,42.25,16,3.05
41,30,29,41.88,12,4.73
31,42,27,40.75,4,4.45
29,34,37,39.63,-8,4.96
24,41,35,36.63,-11,5.19
29,37,34,35.13,-5,8.77
23,33,44,33.25,-21,12.32
28,31,41,30.63,-13,13.27
29,23,48,29.25,-19,14.13
26,41,33,27.38,-7,13.60
27,35,38,26.88,-11,14.15
32,32,36,27.25,-4,16.14
38,32,30,29.00,8,18.33
22,36,42,28.13,-20,14.13
29,33,38,28.88,-9,14.50
39,36,25,30.25,14,15.73
28,47,25,30.13,3,15.10
32,42,26,30.88,6,17.75
29,45,26,31.13,3,24.14
32,37,31,31.13,1,22.09
28,32,40,29.88,-12,23.76
25,40,35,30.25,-10,23.28
34,38,28,30.88,6,22.18
27,42,31,29.38,-4,22.84
22,52,26,28.63,-4,22.28
34,37,29,28.88,5,20.17
30,40,30,29.00,0,20.60
32,39,29,29.00,3,18.21
43,34,23,30.88,20,19.71
47,33,20,33.63,27,22.32
45,25,30,35.00,15,23.80
37,36,27,36.25,10,26.55
38,32,30,38.25,8,26.31
33,39,28,38.13,5,27.99
35,39,26,38.75,9,24.60
39,33,28,39.63,11,26.37
43,38,19,39.63,24,22.36
40,35,25,38.75,15,27.75
37,31,32,37.75,5,28.20
39,22,39,38.00,0,30.03
39,32,29,38.13,10,33.00
44,30,26,39.50,18,33.90
30,35,35,38.88,-5,38.15
33,35,32,38.13,1,34.34
42,25,33,38.00,9,33.13
40,43,17,38.00,23,34.11
44,31,25,38.88,19,33.87
36,42,22,38.50,14,29.15
37,39,24,38.25,13,31.64
38,37,25,37.50,13,32.15
38,37,25,38.50,13,32.84
34,43,23,38.63,11,36.33
43,37,20,38.75,23,34.44
46,37,17,39.50,29,35.03
53,26,21,40.63,32,32.74
48,34,18,42.13,30,29.40
39,41,20,42.38,19,29.45
47,30,23,43.50,24,29.87
52,23,25,45.25,27,28.92
42,25,33,46.25,9,29.51
40,23,37,45.88,3,25.03
37,27,36,44.75,1,26.86
52,29,19,44.63,33,26.96
42,27,31,43.88,11,23.36
44,26,30,44.50,14,24.08
42,23,35,43.88,7,28.84
44,26,30,42.88,14,29.57
39,34,27,42.50,12,25.65
44,25,31,43.00,13,27.54
36,31,33,42.88,3,23.34
48,21,31,42.38,17,21.31
35,28,37,41.50,-2,23.11
35,34,31,40.38,4,20.85
44,18,38,40.63,6,15.41
43,30,27,40.50,16,15.37
41,26,33,40.75,8,12.96
38,34,28,40.00,10,18.53
40,30,30,40.50,10,19.27
36,43,21,39.00,15,18.96
35,28,37,39.00,-2,19.09
38,42,20,39.38,18,15.63
37,36,27,38.50,10,14.49
46,32,22,38.88,24,16.66
46,25,29,39.50,17,18.10
42,27,31,40.00,11,17.42
39,37,24,39.88,15,20.42
41,30,29,40.50,12,19.87
47,32,21,42.00,26,21.00
46,33,21,43.00,25,20.91
47,34,19,44.25,28,19.17
49,35,16,44.63,33,23.30
46,31,23,44.63,23,22.92
48,18,34,45.38,14,25.12
51,30,19,46.88,32,24.39
48,28,24,47.75,24,19.78
51,23,26,48.25,25,18.22
48,28,24,48.50,24,22.37
46,34,20,48.38,26,22.87
55,18,27,49.13,28,21.29
48.5,23.5,28,49.44,0,26.20
42,29,29,48.69,13,26.86
36,40,24,46.81,12,23.95
54,31,15,47.56,39,23.64
53,31,16,47.81,37,20.29
54,21,25,48.56,29,24.77
49,22,29,48.94,20,21.65
45,28,27,47.69,18,22.73
44,28,28,47.13,16,27.07
36,35,29,46.38,7,23.66
47,31,22,47.75,25,20.52
45,31,24,46.63,21,19.89
40,43,17,45.00,23,15.56
40,42,18,43.25,22,15.85
36,38,26,41.63,10,18.80
28,40,32,39.50,-4,17.13
48,31,21,40.00,27,26.70
46,38,16,41.25,30,26.48
37,40,23,40.00,14,24.05
51,35,14,40.75,37,24.84
61,29,10,43.38,51,26.78
47,28,25,44.25,22,27.43
49,28,23,45.88,26,34.15
42,32,26,47.63,16,34.77
42,41,17,46.88,25,32.31
32,44,24,45.13,8,36.37
40,35,25,45.50,15,41.86
29,45,26,42.75,3,43.30
30,32,38,38.88,-8,47.63
29,38,33,36.63,-4,42.97
27,42,31,33.88,-4,41.00
43,37,20,34.00,23,35.42
